"fecha","indicativo","nombre","provincia","altitud","tmed","prec","tmin","horatmin","tmax","horatmax","dir","velmedia","racha","horaracha","presMax","horaPresMax","presMin","horaPresMin","hrMedia","hrMax","horaHrMax","hrMin","horaHrMin"
"2023-07-02","3195","MADRID, RETIRO","MADRID","667","27,4","0,0","20,2","05:50","34,7","14:40","04","3,1","9,2","04:00","942,2","08","938,7","20","40","65","07:10","22","15:20"
"2023-07-03","3195","MADRID, RETIRO","MADRID","667","28,7","0,0","22,3","04:50","35,1","14:40","23","3,1","13,1","12:50","940,6","08","938,0","17","33","62","06:30","15","15:30"
"2023-07-04","3195","MADRID, RETIRO","MADRID","667","27,0","0,0","20,5","05:00","33,5","12:50","33","2,8","8,9","18:00","941,6","24","939,1","18","36","77","04:40","12","14:00"
"2023-07-05","3195","MADRID, RETIRO","MADRID","667","27,2","0,0","21,3","05:10","33,0","14:20","24","2,2","9,7","15:30","942,0","08","937,2","18","26","44","06:30","13","14:30"
"2023-07-06","3195","MADRID, RETIRO","MADRID","667","27,6","0,0","21,6","07:10","33,7","14:40","25","1,9","9,7","15:50","938,3","07","935,5","17","39","80","07:00","16","14:20"
"2023-07-07","3195","MADRID, RETIRO","MADRID","667","27,8","0,0","21,4","05:40","34,2","13:50","26","2,5","10,6","15:50","939,5","24","936,0","16","36","75","04:30","13","17:30"
"2023-07-08","3195","MADRID, RETIRO","MADRID","667","26,2","0,0","19,7","04:40","32,7","14:50","26","1,9","8,9","15:00","942,7","23","939,4","00","29","55","06:30","16","13:00"
"2023-07-09","3195","MADRID, RETIRO","MADRID","667","26,8","0,0","19,3","06:00","34,2","14:40","25","1,7","8,9","16:00","945,2","11","942,5","00","29","60","06:00","15","16:40"
"2023-07-10","3195","MADRID, RETIRO","MADRID","667","29,6","0,0","21,5","04:40","37,8","14:20","27","1,7","6,9","16:00","945,1","08","940,7","Varias","25","43","04:20","15","16:10"
"2023-07-11","3195","MADRID, RETIRO","MADRID","667","30,8","0,0","23,6","06:00","38,0","13:30","24","3,9","11,4","13:10","940,7","00","938,5","17","25","49","06:50","13","13:40"
"2023-07-12","3195","MADRID, RETIRO","MADRID","667","27,2","0,0","21,3","06:10","33,2","14:50","25","2,5","10,0","14:30","941,6","22","939,1","02","29","49","06:40","16","14:50"
"2023-07-13","3195","MADRID, RETIRO","MADRID","667","28,2","0,0","21,4","05:20","35,1","14:40","25","1,7","7,5","15:30","943,4","08","939,9","19","30","55","06:00","17","16:10"
"2023-07-14","3195","MADRID, RETIRO","MADRID","667","29,8","0,0","22,8","05:30","36,8","14:00","16","2,8","10,8","11:40","941,0","07","936,8","19","36","73","06:50","15","14:30"
"2023-07-15","3195","MADRID, RETIRO","MADRID","667","26,7","0,0","21,1","06:10","32,3","14:30","23","3,6","11,1","14:30","939,2","Varias","936,8","Varias","36","63","06:10","18","14:40"
"2023-07-16","3195","MADRID, RETIRO","MADRID","667","27,2","0,0","20,4","05:50","34,0","14:30","23","2,2","7,8","13:00","940,5","08","938,2","Varias","27","47","01:40","17","13:30"
"2023-07-17","3195","MADRID, RETIRO","MADRID","667","30,4","0,0","22,2","03:20","38,7","15:00","24","1,7","6,1","16:40","942,0","10","938,7","18","31","57","08:30","16","16:00"
"2023-07-18","3195","MADRID, RETIRO","MADRID","667","31,8","0,0","25,0","05:40","38,5","14:00","26","2,2","9,7","14:10","943,4","10","940,2","02","28","60","06:10","14","Varias"
"2023-07-19","3195","MADRID, RETIRO","MADRID","667","31,4","0,0","25,3","06:00","37,5","14:30","26","3,6","12,5","15:20","942,8","08","938,8","24","24","41","06:00","16","12:00"
